Player Name,Match Date,Aggregated Vader Polarity Score for 36h,1st Serve Fault 
Karlovic I.,1/3/12 12:35,0.33966,0.346534653
Karlovic I.,1/4/12 14:25,0.26535,0.307692308
Karlovic I.,1/16/12 02:05,0,0.221153846
Karlovic I.,1/20/12 02:25,0.10115,0.302521008
Karlovic I.,1/31/12 16:50,-0.4767,0.388888889
Karlovic I.,2/2/12 19:50,0,0.304347826
Karlovic I.,2/3/12 16:50,-0.296,0.173076923
Karlovic I.,2/28/12 22:00,0,0.489361702
Karlovic I.,3/22/12 15:05,0.20095,0.427350427
Karlovic I.,3/24/12 22:10,0,0.430555556
Karlovic I.,4/11/12 18:05,0.0864,0.404494382
Karlovic I.,6/12/12 15:10,0.2787,0.255813953
Karlovic I.,6/13/12 11:35,0.5574,0.324786325
Karlovic I.,9/18/12 10:05,0.4588,0.320987654
Karlovic I.,9/20/12 10:05,-0.296,0.403508772
Karlovic I.,9/21/12 19:40,0,0.397849462
Karlovic I.,10/2/12 07:45,-0.308266667,0.356164384
Karlovic I.,10/17/12 09:55,-0.20095,0.328358209
Karlovic I.,10/18/12 16:20,0.6369,0.447761194
Karlovic I.,2/7/13 18:15,0.3182,0.375
Karlovic I.,3/11/13 02:55,0.296,0.385964912
Karlovic I.,7/10/13 17:05,0.57052,0.454545455
Karlovic I.,7/16/13 18:00,-0.25435,0.228070175
Karlovic I.,7/17/13 18:00,0.32275,0.205479452
Karlovic I.,7/20/13 17:05,0.38915,0.268817204
Karlovic I.,7/21/13 17:05,0,0.234375
Karlovic I.,7/24/13 20:05,0,0.454545455
Karlovic I.,8/29/13 01:35,0.2993,0.374269006
Karlovic I.,8/30/13 23:25,0.2936,0.37037037
Karlovic I.,10/16/13 09:40,0.5574,0.422222222
Karlovic I.,10/22/13 19:05,0.1591,0.365217391
Karlovic I.,1/1/14 14:35,0.117566667,0.272727273
Karlovic I.,2/15/14 03:05,0.4588,0.365384615
Karlovic I.,2/19/14 17:35,0.34,0.666666667
Karlovic I.,3/7/14 04:00,0,0.396226415
Karlovic I.,4/7/14 21:15,0,0.47826087
Karlovic I.,4/14/14 09:35,0.05135,0.456521739
Karlovic I.,4/28/14 16:05,0,0.3125
Karlovic I.,6/16/14 11:05,-0.296,0.322033898
Karlovic I.,7/7/14 17:15,0.5232,0.309090909
Karlovic I.,7/9/14 20:30,0.244533333,0.365079365
Karlovic I.,7/12/14 19:40,-0.3182,0.418181818
Karlovic I.,10/6/14 08:30,0.4215,0.388888889
Karlovic I.,1/5/15 19:25,0,0.38961039
Karlovic I.,1/7/15 12:35,0.4404,0.295081967
Karlovic I.,1/8/15 14:05,0.4404,0.262626263
Karlovic I.,1/9/15 13:35,0.2202,0.307692308
Karlovic I.,2/4/15 17:30,0.4404,0.166666667
Karlovic I.,2/10/15 17:05,0.4939,0.309859155
Karlovic I.,2/25/15 02:15,0.9433,0.419753086
Karlovic I.,5/24/15 11:25,0,0.401785714
Karlovic I.,6/12/15 11:40,0,0.436170213
Karlovic I.,6/16/15 11:05,0,0.292134831
Karlovic I.,6/19/15 11:05,0,0.291262136
Karlovic I.,6/20/15 12:05,0.4111,0.323943662
Karlovic I.,7/2/15 17:20,0.2997,0.278106509
Karlovic I.,7/4/15 14:15,0.236533333,0.244274809
Karlovic I.,7/13/15 19:45,0.205683333,0.457446809
Karlovic I.,7/15/15 22:00,0,0.309859155
Karlovic I.,7/17/15 18:05,0.2846,0.317460317
Karlovic I.,7/18/15 21:05,0.303933333,0.393442623
Karlovic I.,7/19/15 19:05,0.3612,0.324074074
Karlovic I.,8/12/15 01:20,0.6908,0.25
Karlovic I.,9/1/15 16:05,0,0.326086957
Karlovic I.,10/23/15 12:05,0.3612,0.311688312
Karlovic I.,4/28/16 15:35,0.011875,0.365853659
Karlovic I.,4/29/16 17:00,0,0.203883495
Karlovic I.,4/30/16 14:35,0,0.260273973
Karlovic I.,7/23/16 19:05,0.5859,0.426229508
Karlovic I.,7/24/16 20:05,0.5859,0.39047619
Karlovic I.,10/7/16 08:30,0,0.324324324
Karlovic I.,10/10/16 11:05,0,0.35483871
Karlovic I.,10/19/16 15:00,0,0.341463415
Karlovic I.,10/29/16 13:05,0.9201,0.453703704
Karlovic I.,1/17/17 05:55,0,0.342723005
Karlovic I.,2/21/17 19:35,0,0.410958904
Karlovic I.,4/28/17 11:05,0,0.305084746
Karlovic I.,8/2/17 01:05,0,0.390243902
Karlovic I.,8/14/17 16:05,0.4404,0.323943662
Karlovic I.,8/16/17 00:10,0.4404,0.371794872
Karlovic I.,2/8/18 19:30,0,0.382352941
Karlovic I.,5/1/18 12:05,0.1531,0.203125
Karlovic I.,7/4/18 14:30,0.7003,0.287037037
Karlovic I.,7/31/18 05:25,0,0.461538462
Isner J.,1/16/12 06:55,-0.1438,0.336842105
Isner J.,1/18/12 04:30,0,0.371727749
Isner J.,2/22/12 01:15,0.397375,0.295774648
Isner J.,2/24/12 01:40,0.06315,0.226190476
Isner J.,2/28/12 20:20,-0.102575,0.317647059
Isner J.,3/1/12 00:20,-0.2263,0.338709677
